hhsize,children,region,tenure,hhincome,gross_pay,number_in_work,food_and_drink,tobacco_alcohol,clothing,housing_and_energy,household_goods,health,transport,communication,recreation,education,restaurants_etc,misc_goods,total_consumption,non_consumption,total_expenditure,weight
6,4,South West,Mortgaged,733.34,810.36,1,39.025,12.735,56,39.415,17.735,6.675,132.855,11.85,212.385,0,62.21,46.63,873.19,122.222,1145.61698410705,2769.130848240084
1,0,Yorkshire,Owned outright,131.952,0,0,16.425,0,0,11.53,2.015,1.47,28.99,3.69,14.6,0,0,12.87,107.355,18.5737267437785,110.64,3218.3479064920516
2,0,Eastern,Mortgaged,391.27,0,2,22.07,92,0,25.765,19.535,25,288.234615384615,2.08,16.375,0,0,25.825,842.695,114.250996728587,670.433248431401,3897.370220684024
2,0,East Midlands,Owned outright,757.254,0,0,38.255,21.855,7.975,38.74,1.415,8.255,318.99,0,80.595,0,0,17.26,600.11,139.103231864559,1279.86436520419,3005.1072172717772
5,3,Scotland,Mortgaged,429.93,250.1,1,14.34,26.31,14.735,13,137.74,0,24.495,4.7,357.95,0,66.31,11.3825,420.02,73.6850330371535,730.746793213814,3880.081110321944
1,0,Wales,Owned outright,146.29,0,0,32.315,3.195,0,40,24.735,0,5.2,18.47,8.015,0,0,8.895,107.660769230769,12.3754209211384,137.299210666409,3869.337877004474
2,0,London,Mortgaged,831.24,687.32,2,74.43,0,35.995,26.33,24.67,0,63.29,13.94,33.32,0,63.355,49.9,304.435,164.559162460568,503.012077766934,5100.73727355978
3,2,North West,Mortgaged,436.19,723.75,1,42.89,7.695,48.735,28.53,1.62,0,252.68,63.07,72.84,88.46,81.52,183.08,1209.705,495.416630718638,1007.50293793928,3328.778351290365
4,0,Eastern,Mortgaged,1374.14,157.14,4,76.05,12.255,0,17.31,5.96,0,56.05,29.955,50.665,0,90.37,47.83,404.31,100.65808913454,482.41413428142,6093.536953412885
2,0,Yorkshire,Owned outright,573.352,0,0,57.565,2.805,4.49,16.45,75.795,7.165,58.04,5,22.91,0,0.42,26.15,384.195,62.2072897841285,405.9495,3166.280701297552
1,0,North West,Rented,139.91,0,0,16.115,0,0,16.8223076923077,2.38,0.24,2,1.36,7.665,0,0,4.405,54.73,0,60.735,3252.4264419456495
1,0,West Midlands,Rented,165.802,0,0,12.43,0,0,64.7980769230769,3.05,0,0,2.46,101.64,0,0,0,294.75,14.8349474906838,134.985,4440.927858021638
2,0,Scotland,Owned outright,441.404,0,0,64.185,0,6,28.74,140.77,0,30.3,16.96,69.435,0,25.225,39.185,486.535,52.069295848404,429.588431859457,4059.293232615692
1,0,Scotland,Owned outright,1221.202,1309.99,1,12.815,0,0,48.17,388.12,3.32,0,23.46,42.04,0,85.775,44.435,333.485,58.7284157314586,1292.80487094714,3293.8503508767817
1,0,London,Owned outright,165.39,0,0,49.895,0,0,24.59,67.99,0.245,0,12.175,32.685,0,0,28.105,141.67,38.7817372053359,473.47006393072,4622.113737134164
1,0,Eastern,Owned outright,443.442,0,0,0,13.15,0,18.26,38.46,0,0,5.23,35.475,0,8.85,11.83,211.885,22.7411575840304,210.498227710339,3196.0119748970974
2,0,Yorkshire,Rented,199.204,0,0,46.43,0,19.285,86.43,5.125,2.215,163.81,4.62,101.185,0,9.695,20.96,363.96,20.5713168810711,370.085593855315,3127.205313138148
2,0,West Midlands,Mortgaged,205.744,0,0,26.365,0,12.49,19.96,0,0,81.37,0.25,24.665,0,3.7,10.695,216.205,72.5576576467892,207.122835295833,3796.308874709128
4,2,London,Owned outright,696.52,0,2,44.645,10,43.975,258.885,2.99,0,60.59,20.48,32.125,0,39.51,36.58,412.99,20.16,364.065,4262.840027586698
1,0,South East,Rented,126.422,0,0,29.365,6.885,5,102.94,0,0,0,29.52,73.215,0,10.75,12.775,213.893076923077,16.7899675482719,189.055156593407,4363.876389298096
3,1,Yorkshire,Mortgaged,652.39,404.5,2,45.08,0,0,15.69,2.99,0.375,15.205,13.39,3.585,0,44.26,132.81,500.565,150.987668479527,492.020774237498,4535.26843710726
1,0,Eastern,Owned outright,184.632,0,0,35.99,0,12.495,31.85,55.07,0,68.085,5.19,71.54,0,6.56,17.49,415.355,24.5213507440024,237.472805552203,4242.952553817601
3,0,South West,Mortgaged,898.332,598.78,2,28.935,26.915,83.725,26.53,49.49,11.76,145.345,31.905,209.885,0,13.82,86.9,451.485,197.589102383,982.523178629893,3643.5301032290904
2,0,South West,Owned outright,642.862,0,0,52.845,48.945,51.89,32.27,88.29,5.25,169.28,9.17,59.505,0,36.975,19.29,610.335,74.1845051673708,610.416908353103,3482.3066506762557
2,0,South West,Mortgaged,610.612,265.02,2,105.395,3.105,56.425,31.525,7.975,0.26,3,9.62,50.465,0,18.49,64.205,306.985,188.962489360141,542.085436240156,3865.4403318939494
3,1,West Midlands,Rented,196.482,0,0,39.535,14.525,13.74,28.38,18.6934615384615,0,7.6,15,94.855,0,11.575,32.415,251.515,7.45,208.984508398941,2807.706551128908
1,0,South East,Rented,413.96,550.58,1,22.545,11.375,2.5,156.93,15,0,0,0,2.53,0,0.7,15.77,398.98,17.8776209059233,285.624592049064,4307.761733411894
2,0,Northern Ireland,Owned outright,287.959230769231,0,0,31.445,4.995,5.25,16.35,49.04,1.245,28.27,2.92,15.545,0,19.2,11.49,172.47,22.3398937237061,273.310177493808,1061.881168510851
1,0,North East,Owned outright,109.85,0,0,28.175,0,17.5,11.93,1.255,0,0,3.48,4.82,0,4.62,10.51,76.245,27.0539013215009,88.454005094346,3309.3405942647805
4,2,Eastern,Mortgaged,694.54,588.53,2,77.52,7.965,38.745,35.31,4.63,1.085,69.21,18.8,24.55,5.825,44.665,24.695,452.065,150.92420774819,472.561486083499,2884.608114271264
2,0,London,Owned outright,152.97,0,1,41.86,6.245,6.495,24.4,7.53,5.305,0,0,5.49,0,0,9.545,94.655,10.6626626656528,113.677658035034,4474.78153510346
1,0,London,Mortgaged,90.282,0,1,24.23,11.405,0,21.06,0,0,9.745,12.38,8.23,0,19.475,8.75,111.16,126.621202477574,294.442877249092,3726.053125665462
2,1,North West,Rented,359,255,2,58.64,50.625,1.575,109.63,7.69,0,17.5,15.39,26.465,0,81.92,172.235,353.295,15.8659245728487,364.301741592254,3468.4903529447015
3,2,North West,Mortgaged,167.47,98.07,1,84.9,0,9,16.94,137.065,0,0,24.725,40.835,0,5.55,136.725,326.89,154.416639406695,693.151149553066,2555.740253438636
1,0,North East,Owned outright,171.58,0,0,14.11,0,9.995,16.19,116.675,4.24,4.8,2.64,11.465,0,12.95,15.205,165.57,17.8875520575897,291.407265454545,3596.734577639216
2,1,Wales,Rented,131.87,0,0,54.385,0,8.5,14.16,4.85,0,0,15.31,16.165,5,12.345,30.345,206.555,0,248.814440741487,3482.6814146291917
3,1,North West,Mortgaged,574.941,470.48,2,35.85,0,72.99,16.96,4.08,8.54,33.51,15.47,55.695,0,49.77,64.03,509.335,147.643196824097,457.91,3880.081110321944
3,1,South East,Mortgaged,735.637,499.5,2,39.8,10.05,15.885,39.415,15.2,2.395,62.52,3.85,19.385,0,15.645,29.62,286.86,186.147450549451,411.631060920096,3093.6514472186605
1,0,South East,Rented,241.47,0,1,15.02,0,5.495,5.85,3.275,0,0,1.96,17.575,0,17.745,2.345,166.44,0,98.1610886212409,3577.6965688300934
1,0,West Midlands,Mortgaged,655.19,631.78,1,23.695,0,39.75,5.08,17.08,1.64,59.015,11.54,37.545,0,23.005,51.57,316.215,178.058777836974,491.051482602027,3058.523572696842
4,3,South East,Rented,194.8,0,0,22.415,5.65,1,18.4261538461538,13.46,0,0,0,16.915,0,0,0.775,115.625,1.75288374738769,56.13,2763.659294527228
4,0,Yorkshire,Mortgaged,542.772,410,2,63.205,8.03,29.6992307692308,38.755,21.445,56.24,31.98,6.2,55.015,0,29.425,22.19,261.55,105.8845,387.099348472945,5228.531781510789
2,0,North East,Mortgaged,384.1,326.79,2,67.125,0,0,36.175,4.355,0.24,43.22,5.35,40.835,0,37.025,21.67,283.045,94.5015,494.107,3346.342288551274
2,0,Eastern,Owned outright,686.924,62.53,1,35.215,18.1,0,20.4,37.825,5.245,139.62,0,147.835,0,58.44,42.15,482.81,52.1113220675944,702.097846445377,3690.175723237795
1,0,West Midlands,Rented,36.08,0,0,20.03,0,0.495,82.39,1.15,1.65,6.68,35.77,10.12,0,16.68,1.135,197.95,0,78.895,4082.403676380043
2,0,Eastern,Rented,491.47,278.87,2,29.935,17.855,0,189.33,12.98,0,295.58,11.73,133.02,0,17.67,46.015,1106.515,66.8053493501916,879.187019261327,3821.34310676519
1,0,South East,Mortgaged,362.29,465.75,1,23.765,14.94,0,9.99,0,10.19,93.31,5,25.625,0,2.42,19.42,173.36,74.9786680335508,290.354150236664,4367.074375029818
4,2,South East,Mortgaged,682.3994,437,2,72.775,6.49,55.495,47.69,24.43,13.9,96.34,4.63,42.145,0,24.96,97.91,427.695,126.577765798566,704.912395446798,2988.0679495449785
2,0,South East,Owned outright,856.02,0,0,92.09,1.745,0,55.61,698.78,0.995,98.725,6.67,52.665,0,184.585,48.55,1750.79,156.037177035569,1921.92499762164,3614.4734047448296
3,0,London,Owned outright,1531.962,480.84,3,169.27,0,52.465,20.2,32.645,10.235,178.335,36.17,138.875,0,54.695,107.445,485.46,70.3682025171088,846.724192700338,5654.488490417228
1,0,South East,Rented,139.452,0,0,53.8,0,6.495,18.23,6.565,0,18.54,5.82,9.325,0,10.93,11.655,112.1,8.27,127.531538461538,3613.1492387777903
3,1,North West,Rented,128,0,1,8.89,36.375,249.98,16.74,39.205,0,49.65,21.16,12.045,0,60.215,70.03,688.325,0,641.127868146281,3632.9367754927807
2,0,North West,Other,355.544,0,1,53.515,11.17,1.37,28.19,1.98,0,18.75,5.87,14.705,0,22.88,19.7,187.645,4.67,304.436523576299,3507.0660558335258
1,0,Eastern,Rented,363.58,511.46,1,32.65,8.135,37.745,78.94,85.945,2.495,13.5,10,77.1,0,43.55,23.52,351.665,49.4615884678455,619.956435393291,3690.175723237795
3,0,North West,Mortgaged,624.09,0,2,64.03,30.32,36.475,23.27,6.145,0.33,66.85,12.25,48.775,0,53.36,24.68,415.55,103.818388403882,616.367730610372,4901.487771915769
2,0,South West,Mortgaged,221.8,272.06,1,66.175,1.495,16.09,22.1,4.525,0,15.5,4,3.63,0,19.715,17.425,200.985,76.3803289851191,225.13984582744,2968.9050194182123
3,0,South West,Owned outright,753.5,156.17,2,31.4,26.1,0,18.46,3.365,0,371.3,5.26,43.5,0,80.08,34.765,797.57,38.7183713838292,744.802628901322,3520.432636821557
2,0,Merseyside,Owned outright,343.324,0,0,53.565,7.975,29.975,29.85,6.98,5.305,3,5.38,27.12,0,40.63,18.73,229.76,28.319614195724,283.914625430845,4161.079122232962
1,0,Scotland,Rented,136.922,0,0,16.37,8.57,0,32,4.52,2.04,9,1.6,48.845,0,2.15,0.445,132.815,5.10132561578323,310.182224603515,3254.1003876020936
1,0,East Midlands,Rented,76.93,0,0,51.495,4.995,0,11.3076923076923,2.74,0.5,34.42,5,18.485,0,3.585,14.02,146.485,14.04,193.249814061734,3557.834079324517
2,0,South East,Owned outright,513.67,0,1,109.995,8.49,24.485,33.93,58.6753846153846,0,37.4,17.43,55.015,0,10.205,19.92,371.05,32.0314590929226,497.798422235523,4324.226363077536
3,2,South East,Rented,213.25,0,1,39.445,11,0,68.58,2.795,1.245,25.16,5.89,28.95,0,0.72,13.65,216.72,16.9587780430882,149.749539281739,2849.3303341682717
1,0,North West,Rented,126.202,0,0,23.255,0,1.99,8.52,0.645,0,0,1.96,6.665,0,0,19.62,99.38,0.780399347518068,54.72,3196.0119748970974
2,1,East Midlands,Rented,209.18,247.17,1,57.13,0,1,100.81,19.66,3.915,31.23,12.5,17.93,0,1.7,10.24,361.77,6.98,369.375,3905.065373850975
2,0,Eastern,Rented,312.304,0,2,53.15,5.475,9.5,65.71,13.485,2.36,45.2,3.69,53.375,0,35.83,20.09,342.155,31.12172474719,473.812874342553,3044.832196282936
1,0,Eastern,Owned outright,173.022,0,0,36.035,0,0,64.275,0,3.22,61.43,3.11,23.435,46.15,77.85,15.42,201.301153846154,42.2854808870522,281.193772683845,3183.8946070855177
2,0,East Midlands,Rented,592.29,418.21,2,20.85,44.765,0,65.8311538461539,108.21,0,44.37,12.13,23.055,0,122.67,22.205,340.32,23.9696220496538,343.489332180572,3724.229274427851
3,1,London,Mortgaged,1060.16,0,2,84.595,0,20.97,28.56,1.41,0,21.405,23.77,44.585,0,90.335,55.005,324.515,168.956482511944,580.440422586082,3945.340006659774
3,0,South East,Mortgaged,788.83,527.36,3,83.245,16.275,50.99,12.62,4.92,24.605,75.35,14.46,300.95,0,165.115,28.05,841.38,109.971395446798,532.092200159252,4085.751567692932
3,2,East Midlands,Other,400.11,339.5,1,39.975,1.175,11.44,5.2,19.23,0.79,326.59,10.62,50.225,0,45.1,37.16,868.606146153846,74.9350050989454,1094.93766470099,4134.970566845123
4,2,Scotland,Rented,343.33,128.93,1,30.55,32.865,0,62.3784615384615,0.885,0.495,31,11.54,8.555,0,37.14,3.68,254.37,20.8303297133353,205.786232755891,3647.927333610199
2,0,Northern Ireland,Mortgaged,595.21,621.35,2,55.855,8.61,61.48,26.96,112.44,0,145.505,19,26.58,0,247.355,54.76,569.09,116.147346238086,591.264735358716,736.0863720922927
1,0,South East,Rented,129.822,0,0,8.285,0,10,15.71,1.92,0,0,3.69,5.945,0,13.05,0,50.685,10,90.7865,2899.1739399086864
2,0,Scotland,Mortgaged,217.6,173.43,2,152.01,155.305,12.37,61.51,25.375,0,26.2,25.16,230.355,1.54,75.83,23.915,664.28,100.837777177177,735.209196997353,4094.321170083389
2,0,Scotland,Owned outright,194.334,0,0,22.37,25.165,0,20.51,1.625,20.22,16.5,11.55,44.37,0,3.9,11.81,268.83,11.61,155.512178876559,2725.0586073748736
2,0,Eastern,Owned outright,251.564,0,1,62.96,0,93.35,66.175,1.35,0,33.35,4.62,10.005,0,1,43.395,187.67,23.8091690295622,979.922816218746,3188.0669790948655
1,0,London,Mortgaged,134.05,67,1,0,0,0,26.7,0,0,9.745,10.46,2.33,0,0,6.935,62.965,144.445683188775,367.599847169033,4491.595944458504
1,0,Scotland,Mortgaged,76.192,144,1,8.235,0,0,7.5,0.575,1.29,0,0,7.15,0,5.1,2.31,35.21,39.5235,107.134082906428,3733.773263095948
3,0,Merseyside,Mortgaged,659.062,544.43,2,64.76,2.99,86.25,74.275,1.135,4.795,64.99,9,99.735,0,30.455,22.19,411.01,96.6986343398404,469.002198654631,5088.3450788494
1,0,Yorkshire,Owned outright,155.392,0,0,19.23,2.99,0.75,19.47,1.865,0,25.5,2.79,0,0,11.375,12.87,93.545,2.70869400468442,107.415,4035.7830406348694
2,1,North East,Rented,114.28,116.2,1,10.14,7.985,0,7.15,0,0,0,0,5.22,0,0,0,60.065,0,53.085,4227.387357638997
4,0,South East,Owned outright,1285.46,0,2,85.75,26.645,24.99,27.12,2.66,0,73.07,22.285,20.185,0,8.5,15.995,236.355,32.96,255.217732693408,4061.5917848603376
4,2,South East,Mortgaged,690.76,672.76,2,79.21,0,42.85,25.16,204.24,1.385,29.14,17.06,600.195,0,75.33,68.585,1567.98,151.568843972559,1546.7605,3443.581042206261
1,0,Northern Ireland,Other,113.042,0,0,29.24,0,0,24.8,0.93,0,0,15.69,18.835,0,0,0.23,55.8823076923077,13.2042504016968,72.3173224244412,1267.7015314630023
5,2,North East,Rented,169.4,0,1,45.36,33.9,10.495,15.94,33.305,0,0,0.5,20.155,0,1.435,7.44,153.09,0,235.067762141895,2567.307967452575
2,0,Yorkshire,Owned outright,226.522,0,0,32.035,10.095,0,25.99,2.325,0,51.975,7.39,14.405,0,0,28.44,234.425,34.6643613853628,194.198782853026,4161.079122232962
2,0,South East,Owned outright,170.154,0,0,70.585,0,0,21.96,0.495,9.235,26.675,5.98,23.84,0,18.475,6.85,163.36,21.9115178153259,239.54443707962201,3016.07530896102
2,0,Scotland,Mortgaged,499.72,538.29,1,24.555,45.82,0,59.66,52.67,0.965,383.945,29.78,23.34,25,53.21,83.3573076923077,1016.945,323.612364169108,915.389794135262,4399.254106455196
1,0,Northern Ireland,Owned outright,110.042,0,0,36.11,1.69,13.495,11.4,1.22,0,57,3.59,46.81,0,8.745,17.49,184.85,58.6947188759726,289.827338132213,1041.069276991167
2,0,South West,Owned outright,716.89,637.24,2,51.11,2.495,0.75,27.73,4.015,0,23.34,2.29,25.285,0,34.15,59.255,365.25,75.0856021613258,443.267447363011,3014.1265364057567
2,0,South West,Rented,363.18,115,2,44.425,0,9,346.12,4.65,0,14.5,22.62,16.145,0,30.96,22.465,352.15,23.7982483564091,570.203846153846,4157.906120764775
3,0,North East,Rented,445,0,1,61.5,0,15.45,200.4,8.97,40.87,24.505,6.38,47.295,0,10.475,29.835,264.025,69.4676781602857,330.092303080249,5047.59574503353
